Fluxo maximo = 90
150 1939
0 8 20
0 9 16
0 30 4
0 37 11
0 40 15
0 60 9
0 64 2
0 73 18
0 77 14
0 81 14
0 84 20
0 111 10
0 124 16
0 129 14
0 148 14
1 9 7
1 19 14
1 57 11
1 77 18
1 81 2
1 82 19
1 93 19
1 108 2
1 110 1
1 120 18
1 122 20
1 138 14
1 144 3
1 148 12
2 12 2
2 28 18
2 60 17
2 64 13
2 75 13
2 84 13
2 102 10
2 126 1
2 128 8
2 133 15
2 136 10
2 141 12
2 143 13
2 144 14
3 42 8
3 48 17
3 59 5
3 60 7
3 94 18
3 107 1
3 109 13
3 110 19
3 122 16
3 131 7
3 136 3
4 12 3
4 17 20
4 32 4
4 36 5
4 54 9
4 59 4
4 63 14
4 69 7
4 115 16
4 125 12
4 126 13
4 138 17
4 140 15
5 7 15
5 9 2
5 16 12
5 19 16
5 37 5
5 85 18
5 88 1
5 111 11
5 123 9
5 127 9
5 131 14
5 139 2
5 146 1
6 4 11
6 5 1
6 11 20
6 16 16
6 50 6
6 57 7
6 64 19
6 82 7
6 98 8
6 123 9
6 140 9
7 9 20
7 12 3
7 24 17
7 28 4
7 40 15
7 54 14
7 61 16
7 83 20
7 94 4
7 99 3
7 100 2
7 110 14
7 119 10
7 130 1
7 132 20
7 134 11
7 148 14
8 22 9
8 40 13
8 43 4
8 48 11
8 57 3
8 87 16
8 114 3
8 131 9
8 140 13
9 26 10
9 67 11
9 82 7
9 93 6
9 102 16
9 149 4
10 1 6
10 14 19
10 18 2
10 25 20
10 38 12
10 46 18
10 62 11
10 83 4
10 85 15
10 91 13
10 97 18
10 101 18
10 107 20
10 119 12
11 9 20
11 18 19
11 43 9
11 45 6
11 50 16
11 56 6
11 62 16
11 63 12
11 93 16
11 104 18
11 110 1
11 126 12
11 145 9
12 1 20
12 13 7
12 16 19
12 52 20
12 62 16
12 71 2
12 74 20
12 81 10
12 107 6
12 125 18
12 142 13
13 3 20
13 10 18
13 23 15
13 36 15
13 37 20
13 40 14
13 43 9
13 44 3
13 51 11
13 80 8
13 108 12
13 124 16
13 132 7
13 139 10
14 8 16
14 9 10
14 20 14
14 48 10
14 76 3
14 93 11
14 103 8
14 119 18
14 131 11
14 136 4
14 140 14
15 2 12
15 5 16
15 7 15
15 9 8
15 34 20
15 44 2
15 48 12
15 50 1
15 68 19
15 92 16
15 94 19
15 98 2
15 127 20
15 138 15
16 3 19
16 10 5
16 24 1
16 41 8
16 47 8
16 65 4
16 67 2
16 84 12
16 86 7
16 98 18
16 108 10
16 116 9
16 149 13
17 19 16
17 26 7
17 53 8
17 67 2
17 68 8
17 76 12
17 100 16
17 104 3
17 105 12
17 107 17
17 112 15
17 116 17
17 119 7
18 8 11
18 16 1
18 41 6
18 46 20
18 76 7
18 94 12
18 100 20
18 122 3
18 141 10
18 142 11
19 20 16
19 27 2
19 30 1
19 40 9
19 42 6
19 43 15
19 57 8
19 60 15
19 77 11
19 90 12
19 104 7
19 110 10
19 119 3
19 123 20
19 135 8
20 2 5
20 13 8
20 27 9
20 35 7
20 51 4
20 59 9
20 77 2
20 81 19
20 94 19
20 102 16
20 104 3
20 123 9
20 128 6
20 130 13
20 141 3
20 144 1
20 148 4
21 2 14
21 15 15
21 18 10
21 40 10
21 41 1
21 42 13
21 44 7
21 46 4
21 120 20
21 122 15
21 128 2
21 129 7
21 140 10
22 19 14
22 21 6
22 25 15
22 36 17
22 38 10
22 56 12
22 71 4
22 83 17
22 89 1
22 115 12
22 121 11
22 149 17
23 3 8
23 4 14
23 7 20
23 16 11
23 21 16
23 46 13
23 47 4
23 59 9
23 74 6
23 83 11
23 84 20
23 96 2
23 99 10
23 101 2
23 111 16
23 130 18
23 137 17
24 2 9
24 12 13
24 13 14
24 28 6
24 33 18
24 35 18
24 51 17
24 53 15
24 55 9
24 63 6
24 69 19
24 76 2
24 83 5
24 145 20
25 18 18
25 41 13
25 49 18
25 52 10
25 53 4
25 56 4
25 85 11
25 87 11
25 99 13
25 111 20
25 112 18
25 119 2
25 134 16
25 144 7
25 145 9
26 15 14
26 27 14
26 46 10
26 55 19
26 70 5
26 71 14
26 91 9
26 96 1
26 115 4
26 119 3
26 125 20
26 146 1
26 148 16
27 1 20
27 30 10
27 31 13
27 32 2
27 46 14
27 67 17
27 84 2
27 97 11
27 104 5
27 137 5
27 138 14
28 1 5
28 10 19
28 22 3
28 25 14
28 35 11
28 37 12
28 40 3
28 45 9
28 71 12
28 79 7
28 85 20
28 88 20
28 90 20
28 101 6
28 111 6
28 120 6
28 127 19
28 134 12
29 5 18
29 6 4
29 8 9
29 11 18
29 28 10
29 46 10
29 51 3
29 55 18
29 74 19
29 89 14
29 101 17
29 128 16
29 133 5
29 148 12
30 5 18
30 9 1
30 16 6
30 38 13
30 40 15
30 46 17
30 67 8
30 70 17
30 76 19
30 82 1
30 89 6
30 101 17
30 102 13
30 109 11
30 111 2
30 131 4
30 149 2
31 13 20
31 26 13
31 28 11
31 29 5
31 39 13
31 85 1
31 105 20
31 106 4
31 112 18
31 116 5
31 117 12
31 118 12
31 120 9
31 124 19
31 138 12
31 148 5
32 3 4
32 5 11
32 26 1
32 34 3
32 53 16
32 64 7
32 69 11
32 105 7
32 111 17
32 128 8
32 146 15
32 147 18
32 148 1
33 6 10
33 7 2
33 15 1
33 20 4
33 22 8
33 31 13
33 37 17
33 70 4
33 71 19
33 80 5
33 83 9
33 88 4
33 91 19
33 92 1
33 127 20
33 128 9
33 146 16
33 149 2
34 5 6
34 28 6
34 56 15
34 75 6
34 86 11
34 96 19
34 126 7
34 127 20
34 134 18
34 135 4
34 148 7
35 1 20
35 12 12
35 62 7
35 75 15
35 79 8
35 92 9
35 103 2
35 113 18
35 148 18
36 6 8
36 7 5
36 19 7
36 25 6
36 29 1
36 35 3
36 48 9
36 57 12
36 61 7
36 68 14
36 89 20
36 110 12
36 113 4
36 141 17
37 27 3
37 39 3
37 59 2
37 61 9
37 83 14
37 84 2
37 105 5
37 110 18
37 114 6
37 138 11
37 144 7
38 9 13
38 67 4
38 71 11
38 73 11
38 81 13
38 94 13
38 101 6
38 114 10
38 142 9
38 147 5
39 8 3
39 11 11
39 13 16
39 18 5
39 25 4
39 45 3
39 56 13
39 57 16
39 61 9
39 72 7
39 96 12
39 100 3
39 102 11
39 124 17
40 5 6
40 27 3
40 46 3
40 47 6
40 57 8
40 68 9
40 69 2
40 71 17
40 73 18
