200 19900
6 85 55
2 53 80
163 96 26
135 94 74
124 195 43
36 191 72
170 102 44
57 60 29
117 49 74
97 141 27
177 99 12
184 101 66
15 16 62
140 103 8
166 27 55
108 16 47
32 138 49
127 195 61
155 65 10
28 162 3
6 92 2
118 76 55
35 43 71
48 184 75
107 102 54
8 194 60
108 73 8
68 28 73
29 56 87
83 63 79
84 133 7
138 120 51
160 168 87
134 27 41
40 189 3
161 149 50
21 9 23
28 29 52
52 58 60
38 141 75
117 177 8
23 67 80
125 28 100
11 114 28
151 154 69
6 116 71
55 89 80
177 69 10
80 121 20
40 159 14
14 28 91
74 4 59
53 129 39
153 93 53
32 196 60
100 2 28
70 9 17
2 139 38
163 171 11
182 11 70
95 178 51
138 4 55
48 9 36
186 114 29
190 146 78
149 199 32
176 21 42
44 23 33
181 186 4
191 121 68
113 168 98
63 106 2
169 106 11
156 44 78
85 35 24
114 184 23
145 113 45
138 157 20
22 139 7
126 82 28
145 195 48
142 10 55
95 131 13
57 88 58
134 125 93
110 39 29
132 136 42
128 27 100
148 49 91
154 127 73
33 72 21
80 166 83
186 13 15
151 71 55
8 157 32
100 67 71
80 152 59
22 80 86
121 28 88
111 134 15
135 119 40
107 152 6
90 138 20
156 89 43
110 49 100
93 101 20
163 182 72
73 4 52
11 77 81
198 140 67
112 75 87
51 183 91
109 25 81
180 181 71
122 43 72
173 136 74
92 51 56
163 76 12
115 87 89
47 37 29
65 102 56
3 105 39
93 14 16
74 194 49
96 68 92
167 42 80
92 86 83
47 2 60
110 69 99
98 116 37
26 133 39
182 137 44
72 182 11
188 8 5
36 104 26
80 24 20
11 116 6
146 116 8
5 26 77
55 125 45
191 103 31
181 37 20
125 110 2
35 50 11
91 38 67
16 70 91
87 34 60
45 180 76
4 185 54
33 192 31
177 184 35
159 165 72
78 42 34
132 77 36
194 121 27
112 89 97
55 177 83
114 22 63
41 178 100
146 11 93
177 141 77
111 100 94
34 131 37
20 63 66
7 9 87
33 121 29
82 176 6
164 42 80
27 83 58
178 182 70
170 159 11
98 22 63
144 8 94
80 28 9
197 36 70
36 21 44
164 103 20
21 20 15
100 47 50
130 148 91
92 46 13
155 190 22
100 22 2
61 172 90
30 8 64
73 172 67
45 193 87
59 45 86
108 106 64
92 37 64
82 129 10
47 36 53
20 137 27
173 150 99
163 132 7
78 6 31
144 3 76
183 14 21
20 74 80
35 166 17
198 1 46
160 48 35
64 20 72
190 193 74
89 108 6
195 186 64
178 83 67
153 18 33
126 38 8
73 176 27
118 136 75
152 0 95
75 191 41
100 32 1
106 179 88
69 157 23
188 63 41
120 189 31
79 146 57
5 19 34
131 89 22
106 194 75
52 21 66
144 122 50
145 28 29
84 49 87
106 189 50
146 62 91
128 141 37
185 146 8
170 78 97
43 136 91
117 188 13
134 85 87
183 30 67
12 114 68
150 172 58
151 118 20
141 46 61
29 183 60
136 105 38
132 101 74
75 170 14
87 105 99
125 40 81
191 4 95
58 154 67
115 105 37
186 198 36
199 27 71
158 163 29
195 96 30
120 171 100
33 10 57
184 87 98
164 78 2
11 88 9
29 4 66
166 142 65
53 141 92
123 99 8
51 46 56
32 118 27
184 152 89
40 88 28
137 52 6
191 63 94
199 93 50
16 11 45
80 64 86
124 187 38
131 191 36
186 23 55
164 7 59
104 0 47
131 137 99
188 80 15
181 31 60
83 48 71
127 80 35
64 4 74
53 87 65
89 73 41
195 189 100
53 93 52
151 176 42
101 164 22
115 98 6
174 133 54
44 12 86
130 76 43
4 82 30
20 171 56
12 118 45
164 123 91
115 74 19
156 175 84
30 43 34
135 169 67
40 166 79
25 96 7
167 52 89
149 25 12
4 37 30
0 1 53
42 69 79
61 177 7
196 7 50
181 142 19
147 182 37
77 160 34
35 79 38
124 28 63
17 137 54
21 131 75
100 144 53
58 140 60
107 73 55
77 20 89
14 49 49
199 85 81
188 161 61
51 48 98
103 17 35
108 39 18
183 91 63
187 101 55
46 8 29
152 37 1
41 3 51
41 154 88
121 143 49
134 194 49
131 97 67
17 157 58
34 140 1
148 127 2
3 126 62
131 78 99
183 71 55
133 113 9
120 186 52
20 72 98
169 3 47
87 20 5
44 7 97
44 155 77
97 110 3
158 193 33
8 177 5
23 135 8
126 155 81
24 76 36
170 163 9
26 159 16
23 155 23
99 52 34
53 162 79
85 171 56
141 185 19
62 160 54
170 87 61
102 111 38
37 33 53
145 12 13
12 35 68
187 86 73
72 139 35
150 24 58
6 118 96
76 180 56
129 102 95
41 4 58
30 194 44
95 104 91
114 43 77
186 115 68
173 65 44
82 23 62
185 180 97
79 22 54
132 187 39
77 149 38
24 12 71
167 95 46
181 24 46
175 9 78
23 41 52
76 30 57
75 162 44
166 49 31
112 78 80
102 135 19
6 159 32
128 78 79
74 59 3
119 186 13
48 10 6
0 38 36
156 66 98
51 184 99
181 96 77
12 198 64
83 157 23
14 85 1
144 159 13
146 78 99
110 79 61
115 79 52
102 187 18
51 190 2
49 172 50
77 136 49
40 19 6
162 185 43
115 129 3
79 76 33
77 138 12
190 54 91
141 108 30
158 160 21
111 9 93
160 87 81
160 127 1
117 42 86
160 109 16
162 188 44
194 17 82
106 7 88
48 100 97
178 10 57
50 121 66
94 34 5
74 64 27
127 138 76
22 132 93
55 190 53
143 191 53
91 121 64
47 171 37
164 65 71
169 139 18
53 166 82
179 178 6
166 57 44
141 79 28
85 86 71
37 29 62
42 120 35
105 119 6
193 84 71
164 5 62
81 58 28
62 189 58
19 107 15
114 48 46
141 133 33
63 123 14
24 165 35
58 22 6
37 131 47
199 12 57
78 26 98
136 197 5
50 111 5
148 5 39
180 68 14
79 55 1
85 23 68
126 60 100
125 11 64
181 90 43
131 178 40
35 28 4
140 176 61
130 108 81
43 102 78
73 181 34
125 18 9
192 97 69
143 22 81
107 155 23
49 86 1
140 122 29
95 14 58
7 96 66
188 139 20
165 12 54
150 137 72
158 81 69
179 25 91
59 132 47
181 133 33
33 25 7
113 73 73
170 80 69
88 68 8
59 186 72
12 136 61
184 47 95
4 26 20
93 170 89
177 3 14
136 116 39
177 79 40
136 138 26
60 151 15
72 87 14
166 43 92
85 90 29
88 135 51
128 113 54
42 1 22
132 61 13
151 38 92
191 127 83
168 139 86
34 11 73
147 178 16
190 15 59
118 56 94
168 184 59
173 178 60
47 111 22
159 62 12
151 5 91
185 126 30
170 112 42
194 12 72
61 2 87
19 73 43
113 41 28
71 167 6
4 125 32
167 76 89
58 13 15
87 183 80
80 177 92
51 39 94
38 58 67
80 123 61
107 195 28
65 130 94
181 134 19
64 53 48
153 111 61
119 151 97
198 31 74
89 83 65
183 73 76
101 153 99
61 13 46
140 78 76
33 11 62
4 76 16
51 29 27
63 100 78
59 99 62
185 188 45
149 123 70
124 25 23
175 86 88
20 179 18
148 12 30
9 168 58
124 19 39
103 35 39
32 94 38
193 31 79
189 181 2
58 57 79
33 32 18
20 5 97
38 153 61
19 162 30
76 39 49
114 142 36
52 174 31
20 109 95
73 120 5
152 153 37
69 125 94
165 163 47
177 134 62
6 10 1
7 76 95
42 81 69
124 123 89
38 143 51
132 168 71
188 120 24
77 141 1
170 106 65
169 36 51
130 42 62
82 49 90
176 92 71
196 168 94
185 6 89
187 91 58
157 79 30
32 156 72
32 127 30
148 48 66
199 178 9
101 188 54
24 184 23
117 121 29
58 108 72
167 17 52
196 49 60
167 34 87
197 182 35
14 133 65
122 97 77
32 151 17
185 175 2
59 44 75
188 102 84
111 69 1
162 66 3
122 185 37
160 134 71
47 149 57
63 23 6
140 7 57
108 145 32
61 4 77
136 144 31
119 56 53
71 170 71
25 44 56
13 5 43
184 52 44
192 67 67
97 7 27
154 68 72
137 129 28
165 65 25
96 136 33
170 185 48
125 199 5
62 127 76
29 176 36
107 82 4
130 20 85
109 185 51
117 33 99
172 3 85
71 81 84
175 0 71
35 15 98
10 44 26
145 103 9
100 33 81
185 142 18
135 128 52
125 45 37
124 17 93
108 88 26
43 15 78
113 50 93
62 61 89
187 158 92
147 59 25
127 196 68
45 83 96
148 8 93
36 132 11
80 192 51
5 187 67
35 100 69
127 114 82
16 54 41
7 153 52
184 81 100
103 78 83
198 178 91
42 14 76
152 47 68
55 52 8
173 87 8
141 167 75
123 183 29
15 142 34
118 126 15
17 181 45
199 131 23
141 174 90
16 126 37
36 133 41
43 106 81
102 48 48
76 123 83
56 138 25
190 56 4
156 73 37
1 72 69
175 165 43
164 182 21
152 18 55
193 13 61
73 115 9
72 144 32
54 152 22
130 142 78
85 51 51
22 4 75
90 179 41
132 96 75
52 48 45
106 41 58
67 66 25
27 138 69
111 144 74
132 27 68
10 112 19
112 86 23
39 176 3
131 60 99
157 65 99
1 123 41
86 170 50
155 81 46
80 165 73
147 127 38
66 40 24
140 31 53
194 114 13
144 71 78
143 24 2
135 34 44
193 120 66
94 27 99
140 107 65
12 55 92
149 73 84
125 13 67
77 8 81
89 152 52
119 47 76
167 128 83
185 22 62
83 114 22
99 79 77
91 180 2
26 105 15
193 182 75
73 24 80
177 143 27
152 167 62
66 134 42
148 119 64
161 155 31
82 54 10
10 97 90
11 124 48
178 117 30
104 142 54
14 24 16
27 90 3
168 190 74
131 151 29
113 186 84
22 148 33
64 112 57
11 42 26
92 146 21
198 34 40
46 48 64
14 75 6
68 43 96
41 126 100
170 192 38
105 166 86
137 30 98
46 193 92
71 38 91
183 34 25
198 48 52
104 116 47
151 110 73
102 80 17
191 137 84
77 26 66
26 72 12
18 96 50
60 39 38
184 174 72
108 173 21
11 29 89
157 132 99
181 187 31
181 7 47
98 34 19
9 4 67
158 64 59
95 0 33
19 60 58
191 71 87
79 28 72
30 161 59
60 159 37
180 92 97
78 191 31
48 0 87
115 111 3
125 158 55
157 177 15
115 168 38
53 0 18
134 42 91
123 174 83
119 52 74
39 168 38
41 93 48
147 50 26
161 117 94
198 123 94
167 199 76
145 134 19
35 9 93
143 181 47
21 172 15
10 13 60
35 73 80
128 23 3
174 190 2
49 135 88
119 123 97
12 93 77
109 188 10
107 10 82
132 130 59
193 165 84
172 46 7
74 172 97
176 173 85
115 93 60
112 57 53
140 166 41
102 73 3
35 146 76
182 78 58
192 23 76
76 196 22
182 70 94
167 114 12
26 178 69
130 70 87
70 172 60
125 8 58
152 142 88
109 134 12
184 10 8
57 145 30
102 128 81
121 95 47
32 73 25
153 3 47
39 25 72
151 102 32
160 54 74
48 164 60
170 158 20
99 60 48
179 181 95
77 166 68
153 119 23
100 110 48
123 13 51
154 174 57
138 85 22
112 55 32
31 154 92
30 86 74
124 163 92
43 117 11
165 169 73
65 92 87
67 198 61
123 77 35
96 167 20
169 32 75
0 63 81
91 94 67
116 170 83
107 14 52
169 131 73
142 196 17
80 63 15
40 187 92
174 83 11
193 52 43
19 4 59
199 95 5
18 164 75
0 23 41
3 145 73
127 87 69
143 167 85
157 159 24
48 133 7
10 78 11
53 49 15
63 48 62
167 66 78
41 18 54
82 173 99
54 100 38
174 43 57
158 0 16
81 0 1
39 11 31
1 16 80
167 79 28
181 46 47
63 121 91
161 127 91
98 54 35
154 12 87
169 46 88
21 37 51
151 39 19
130 158 98
110 139 96
156 50 35
172 113 9
53 125 42
139 80 7
25 1 53
112 23 90
162 126 81
180 57 40
29 167 31
76 75 81
163 47 47
123 10 74
10 15 99
104 154 31
10 179 33
114 92 8
55 6 34
127 120 62
157 197 37
190 160 37
136 35 47
109 45 62
7 101 68
138 63 47
22 129 39
129 185 98
114 173 89
157 52 9
118 9 58
107 199 70
143 87 5
189 196 3
2 156 4
67 68 49
58 197 34
55 111 59
143 20 11
103 139 73
61 46 24
130 189 12
35 130 8
137 84 16
92 5 62
111 72 30
60 130 79
145 137 43
4 32 63
66 136 54
138 197 100
162 79 41
73 66 23
132 155 7
161 159 37
91 171 19
63 73 89
178 139 77
31 78 26
83 192 6
75 17 24
198 101 80
156 49 28
72 163 39
60 54 11
178 127 80
186 191 53
27 121 44
3 104 74
81 187 66
38 15 83
61 165 85
40 73 86
67 145 49
158 5 55
20 136 83
151 122 26
3 101 99
98 105 3
72 138 43
37 176 58
172 37 75
8 78 48
45 97 46
46 7 3
52 27 39
186 178 14
111 133 15
109 32 72
164 104 10
6 93 86
63 17 24
189 25 54
36 23 3
133 21 11
36 73 38
74 60 69
139 123 2
154 185 86
187 155 36
172 170 53
147 111 31
0 147 54
55 33 27
165 69 100
54 95 12
122 35 36
76 189 73
61 166 22
103 153 29
38 78 51
190 25 62
72 178 61
177 33 94
103 150 63
103 4 59
1 3 35
73 16 53
46 119 7
174 157 37
24 100 62
137 172 40
198 150 25
91 53 75
6 108 80
64 23 59
109 176 14
95 50 30
47 96 50
105 23 7
41 47 59
155 185 32
46 135 34
171 26 87
197 184 96
76 48 71
186 109 99
99 156 49
181 156 98
30 13 21
188 7 20
47 162 57
163 131 71
101 129 55
148 157 56
170 96 65
169 195 74
17 176 30
66 158 43
186 147 50
106 146 64
162 176 25
106 91 56
76 192 37
182 141 47
137 111 43
154 32 90
127 50 19
8 116 29
102 55 28
52 113 74
67 27 2
91 133 45
199 161 38
187 96 31
133 33 94
127 139 27
69 18 29
139 26 97
167 129 52
47 133 65
120 0 93
74 44 78
70 43 92
59 30 88
189 116 21
135 195 13
113 16 31
141 155 10
189 75 39
141 122 24
157 194 76
1 20 20
131 91 15
22 150 98
9 92 14
93 92 78
176 185 33
85 174 60
75 67 82
150 177 29
25 130 49
97 61 40
11 83 43
60 44 87
25 26 66
47 132 21
159 7 89
40 157 66
68 135 96
69 32 10
160 195 93
2 56 38
88 33 16
105 19 87
14 134 35
108 134 19
129 93 27
169 85 36
186 106 23
133 175 7
142 135 3
187 90 11
76 178 96
177 50 2
163 111 36
82 40 81
160 161 19
70 80 52
176 23 39
30 162 29
92 38 60
188 181 96
55 110 98
56 74 9
144 108 49
76 68 62
94 15 9
170 37 90
21 166 65
112 196 79
140 41 17
51 181 98
198 36 8
196 44 34
104 140 42
5 17 10
66 111 78
75 34 15
116 55 33
132 167 30
110 60 23
78 111 56
27 62 92
86 58 88
20 162 29
13 167 98
123 34 9
152 61 43
18 177 51
51 61 70
32 171 82
6 1 46
161 28 8
104 114 66
91 134 28
171 148 48
68 23 34
29 127 95
71 145 72
73 148 85
195 180 56
176 186 57
21 147 85
80 51 51
45 95 38
125 66 38
172 135 13
51 187 37
74 13 86
158 8 66
13 136 5
21 110 4
57 190 8
7 36 3
44 113 21
93 194 72
84 45 60
21 119 25
106 77 33
123 90 21
79 63 31
135 120 22
42 79 10
16 9 12
172 103 6
195 139 51
6 160 70
30 18 47
14 94 89
135 125 52
165 60 24
138 102 3
99 98 31
21 115 41
84 39 96
189 186 35
139 193 48
8 175 66
106 190 12
46 77 38
49 194 98
172 133 1
157 6 18
197 90 57
92 80 96
127 171 89
74 132 64
191 190 6
3 37 83
89 59 63
141 138 47
44 95 5
61 45 96
70 89 28
65 168 51
53 194 83
168 186 74
26 141 11
8 185 49
137 74 8
151 168 98
2 73 91
49 95 80
128 160 49
179 165 43
113 134 81
38 112 74
49 10 86
156 161 54
154 111 66
199 66 91
41 67 39
20 196 99
15 192 51
95 31 63
21 31 35
179 80 97
164 189 59
117 95 22
177 87 56
15 107 4
165 28 83
81 195 75
83 90 6
197 111 38
32 43 70
28 7 59
160 63 100
199 192 87
161 125 27
143 6 22
118 90 64
75 87 76
64 71 71
134 52 78
144 190 55
98 102 71
49 54 63
88 160 23
34 122 48
112 17 54
33 135 96
148 163 36
175 27 7
45 161 59
123 106 2
29 156 4
199 157 58
162 45 71
84 31 45
83 143 62
136 128 50
184 77 13
125 98 54
137 2 20
192 154 77
102 68 75
172 104 58
116 187 54
29 75 82
78 59 11
42 178 16
82 56 66
187 144 39
150 33 93
69 25 99
97 127 67
171 99 71
134 197 34
15 27 45
78 70 24
145 152 32
110 91 28
0 41 61
44 62 86
43 159 14
109 83 65
32 64 85
189 198 82
174 165 9
19 43 79
194 140 83
104 50 19
64 47 81
1 90 93
66 151 76
31 183 92
67 173 90
148 99 55
8 118 51
139 112 91
173 89 94
99 145 96
17 9 43
198 11 33
42 29 85
17 12 20
8 79 93
149 27 45
55 188 63
5 127 28
141 151 15
188 169 76
131 119 39
