300 44850
168 251 14
282 149 70
190 169 75
175 39 89
259 241 22
114 78 58
49 199 32
270 139 11
130 149 89
56 84 64
264 252 15
77 287 64
46 229 33
272 156 25
60 115 18
133 281 96
190 31 95
274 53 86
36 235 35
25 291 72
88 255 76
154 84 63
69 182 44
153 154 100
277 266 67
95 99 49
189 68 85
174 104 20
61 181 11
84 21 18
59 175 2
74 296 84
17 150 90
117 179 56
83 26 7
83 69 49
62 10 17
146 184 74
217 297 55
227 133 29
244 193 4
97 267 1
132 284 3
21 153 82
228 289 9
235 72 30
35 187 40
204 85 76
177 3 26
83 282 59
11 279 52
167 76 71
19 261 8
21 282 13
254 263 2
214 250 27
243 285 66
282 241 3
258 170 58
283 6 41
141 17 72
245 236 100
15 7 61
122 80 96
135 35 59
188 249 9
66 193 46
131 227 40
34 185 10
43 220 16
35 62 86
6 59 74
106 74 82
166 249 62
261 84 97
71 24 99
79 91 44
177 222 71
216 8 57
177 52 77
93 139 91
130 146 50
103 252 77
136 170 26
198 184 62
46 255 86
144 87 77
187 16 52
158 232 12
66 109 16
194 254 56
137 136 2
86 292 6
214 128 28
239 26 12
100 73 20
38 269 7
14 209 75
265 67 59
277 185 20
92 79 75
99 216 63
200 55 55
57 21 84
85 261 10
296 113 35
267 203 57
25 218 66
99 235 85
157 264 70
77 109 1
3 208 18
65 109 25
120 166 46
264 0 25
51 267 28
107 45 46
124 144 34
208 2 98
229 79 7
29 82 16
98 199 77
274 19 95
120 74 99
30 91 51
54 194 70
34 53 15
231 177 60
64 137 14
214 66 45
120 147 79
287 246 78
15 272 98
262 144 24
212 175 67
162 281 61
183 15 14
198 247 43
109 63 80
74 277 98
118 150 46
296 137 44
73 205 16
222 167 61
198 79 88
264 293 69
277 176 37
42 126 36
285 287 99
64 61 77
14 179 27
59 227 16
102 1 21
169 275 40
29 173 71
168 190 64
237 167 93
125 209 19
260 194 59
158 11 20
86 25 52
112 136 79
80 238 32
252 159 60
292 241 33
162 109 23
78 98 42
170 223 52
140 183 98
98 42 61
170 128 38
121 293 74
51 73 64
35 77 24
294 69 65
126 284 74
201 114 25
194 284 48
97 176 32
195 275 26
107 145 6
45 18 51
170 69 76
234 156 54
209 150 75
73 277 59
98 230 25
222 124 9
22 274 38
5 169 65
30 28 10
287 125 80
290 296 1
65 282 58
218 191 8
193 16 37
203 166 19
28 89 96
188 163 70
225 168 91
289 250 19
281 279 93
82 45 75
91 263 18
198 208 34
87 164 100
205 244 41
252 132 4
221 110 24
111 151 74
82 154 64
178 135 43
270 269 88
96 60 4
165 259 64
198 98 28
149 55 72
190 8 57
145 229 67
269 93 70
94 175 24
157 53 60
252 75 81
39 223 42
194 88 53
10 38 51
237 187 6
161 129 14
269 27 96
187 296 89
256 142 16
232 0 69
43 4 96
123 43 19
264 290 59
116 0 97
118 289 84
124 202 66
189 171 93
236 110 41
76 67 83
91 299 35
211 42 39
106 165 35
276 182 25
234 298 77
230 169 18
166 293 73
231 234 44
23 223 55
163 299 74
197 91 25
232 2 19
270 161 36
104 137 18
280 124 69
208 106 38
178 272 83
50 255 69
145 30 92
51 245 92
24 143 83
48 127 85
166 97 46
171 286 60
139 247 66
28 125 91
210 175 46
79 20 29
170 72 74
261 96 17
143 197 44
80 115 94
177 69 100
112 293 86
223 132 33
141 213 58
31 123 85
228 202 6
156 125 78
30 138 26
98 282 75
294 114 43
39 291 12
38 156 57
75 79 42
60 220 55
169 3 78
154 232 33
159 140 10
288 222 48
265 73 82
140 67 96
182 106 40
45 196 48
202 271 79
243 31 100
197 201 55
26 107 87
110 18 80
19 6 2
67 23 75
148 163 94
96 97 100
87 195 48
234 97 20
212 92 3
163 41 56
118 67 63
56 230 81
135 249 39
15 269 78
209 117 28
260 204 23
208 190 72
127 154 64
181 18 57
137 188 76
251 244 6
84 132 8
222 73 76
136 88 45
266 297 62
193 10 18
15 218 8
286 97 63
101 278 33
257 167 21
232 119 17
190 203 49
97 177 74
72 14 63
69 280 12
130 225 22
148 240 40
107 278 89
169 131 20
1 88 87
73 72 6
90 262 61
290 111 39
264 184 53
26 253 85
137 135 62
259 35 54
50 143 32
291 64 15
210 118 55
296 191 27
254 33 42
114 24 5
152 288 89
256 66 94
92 203 82
153 214 17
206 17 12
289 8 29
203 218 99
9 266 42
188 272 76
81 87 100
85 291 40
274 248 6
219 92 61
0 298 76
169 256 45
232 246 53
60 201 23
110 211 41
52 151 14
27 232 1
78 17 44
117 291 44
274 263 37
34 263 35
9 184 91
105 117 89
157 229 43
231 40 6
272 92 57
285 171 89
137 1 6
280 170 50
112 178 28
98 240 13
40 45 82
281 255 11
123 186 51
280 210 95
236 247 18
176 136 19
133 169 89
46 157 12
26 7 4
190 47 1
171 28 56
81 203 95
84 183 57
178 171 5
196 47 93
214 181 62
155 15 7
187 114 64
150 140 71
53 82 71
106 253 99
61 34 3
7 170 86
164 49 58
20 297 57
12 263 90
174 118 6
80 6 72
196 208 64
266 14 46
136 120 99
87 233 85
