250 6327
0 15 15
0 18 12
0 21 17
0 28 11
0 35 18
0 40 18
0 53 19
0 76 15
0 77 18
0 83 8
0 90 2
0 93 6
0 118 14
0 140 8
0 150 19
0 157 19
0 163 8
0 193 5
0 194 7
0 203 11
0 205 2
0 209 11
0 217 11
0 227 2
0 230 18
0 232 3
0 249 10
1 21 16
1 31 5
1 45 17
1 47 5
1 49 5
1 52 12
1 71 20
1 72 19
1 85 7
1 110 18
1 117 5
1 122 12
1 123 1
1 132 19
1 140 8
1 149 11
1 174 7
1 176 1
1 186 6
1 191 4
1 193 17
1 216 18
1 239 11
1 245 17
2 10 5
2 17 7
2 22 19
2 23 20
2 41 6
2 42 11
2 55 5
2 69 4
2 78 5
2 79 6
2 82 1
2 88 10
2 98 14
2 104 17
2 105 13
2 108 15
2 117 2
2 134 16
2 140 14
2 142 10
2 145 16
2 153 10
2 155 4
2 159 5
2 184 15
2 185 17
2 188 19
2 189 9
2 191 15
2 193 1
2 197 6
2 198 5
2 214 16
2 225 5
2 235 12
2 238 1
2 246 2
3 4 11
3 6 14
3 14 4
3 20 9
3 50 7
3 53 9
3 55 17
3 61 19
3 74 18
3 83 7
3 92 8
3 127 14
3 129 7
3 135 11
3 144 17
3 151 15
3 165 8
3 181 2
3 188 19
3 192 11
3 212 2
3 223 9
3 230 6
3 237 7
3 248 20
4 25 11
4 41 4
4 68 12
4 69 3
4 70 9
4 73 15
4 74 2
4 84 11
4 92 4
4 98 2
4 100 17
4 114 18
4 115 15
4 117 16
4 123 4
4 129 8
4 134 19
4 141 10
4 147 3
4 148 20
4 152 7
4 167 10
4 184 7
4 188 10
4 200 3
4 219 17
4 228 12
4 237 3
5 8 2
5 10 8
5 35 14
5 59 10
5 60 6
5 62 18
5 84 15
5 96 1
5 126 2
5 142 20
5 150 17
5 153 16
5 157 8
5 173 19
5 174 12
5 196 5
5 199 15
5 212 2
5 225 8
5 230 16
6 7 6
6 20 18
6 34 15
6 36 20
6 38 15
6 43 20
6 60 14
6 63 4
6 107 9
6 111 1
6 117 11
6 120 19
6 128 9
6 137 14
6 150 19
6 178 5
6 184 12
6 188 12
6 193 20
6 199 10
6 202 7
6 203 5
6 212 8
6 239 16
6 244 20
7 15 10
7 33 9
7 34 7
7 35 1
7 41 15
7 48 13
7 56 3
7 59 18
7 86 6
7 107 5
7 108 4
7 115 19
7 124 10
7 128 19
7 151 18
7 157 13
7 160 9
7 179 12
7 184 4
7 206 2
7 208 11
7 209 11
7 215 15
7 223 20
7 246 5
8 20 9
8 23 18
8 39 20
8 43 20
8 49 3
8 50 3
8 54 18
8 56 12
8 60 6
8 61 9
8 65 3
8 92 2
8 93 13
8 98 13
8 112 5
8 153 9
8 172 8
8 184 13
8 194 6
8 196 5
8 198 10
8 216 16
8 224 19
8 226 10
8 229 12
8 235 10
9 15 11
9 25 3
9 32 18
9 45 11
9 48 7
9 51 4
9 60 16
9 83 2
9 97 10
9 100 16
9 124 10
9 156 16
9 161 6
